Group,Speaker,Vowel,F1,F2,Notes
3,2,e,402.201415,1914.965765,https://vt.tiktok.com/ZSQRByEAw/
3,2,e,419.652503,1947.104914,https://vt.tiktok.com/ZSQRByEAw/
3,2,e,417.938185,1962.501124,https://vt.tiktok.com/ZSQRByEAw/
3,2,i,315.552714,2112.793029,https://vt.tiktok.com/ZSQRByEAw/
3,2,i,323.245801,2066.891299,https://vt.tiktok.com/ZSQRByEAw/
3,2,i,296.73758,2172.354388,https://vt.tiktok.com/ZSQRByEAw/
3,2,i,320.380918,1935.067979,https://vt.tiktok.com/ZSQRByEAw/
3,2,i,326.059643,1944.11581,https://vt.tiktok.com/ZSQRByEAw/
3,2,o,482.831414,919.32401,https://vt.tiktok.com/ZSQRByEAw/
3,2,o,484.933469,830.470257,https://vt.tiktok.com/ZSQRByEAw/
3,2,o,434.243723,1044.859962,https://vt.tiktok.com/ZSQRByEAw/
3,2,o,436.19884,771.380357,https://vt.tiktok.com/ZSQRByEAw/
3,2,o,484.194863,816.160888,https://vt.tiktok.com/ZSQRByEAw/
3,2,u,455.12884,1159.270452,https://vt.tiktok.com/ZSQRByEAw/
3,2,u,390.342626,1275.319559,https://vt.tiktok.com/ZSQRByEAw/
3,2,u,478.41548,1094.196668,https://vt.tiktok.com/ZSQRByEAw/
3,2,u,393.01637,1089.580206,https://vt.tiktok.com/ZSQRByEAw/
3,2,u,393.857842,1170.016012,https://vt.tiktok.com/ZSQRByEAw/
3,3,a,809.311192,1612.390488,https://www.tiktok.com/@veizaga42/video/7140461026474020102
3,3,a,864.051102,1787.972816,https://www.tiktok.com/@veizaga42/video/7140461026474020102
3,3,a,837.798828,1933.049537,https://www.tiktok.com/@veizaga42/video/7140461026474020102
3,3,a,937.812763,2018.825251,https://www.tiktok.com/@veizaga42/video/7140461026474020102
3,3,a,821.280587,1879.64927,https://www.tiktok.com/@veizaga42/video/7140461026474020102
3,3,e,497.944301,2680.202181,https://www.tiktok.com/@veizaga42/video/7140461026474020102
3,3,e,519.541483,2350.347496,https://www.tiktok.com/@veizaga42/video/7140461026474020102
3,3,e,561.446766,2287.981787,https://www.tiktok.com/@veizaga42/video/7140461026474020102
3,3,e,484.190468,2331.679831,https://www.tiktok.com/@veizaga42/video/7140461026474020102
3,3,e,497.146518,2622.788743,https://www.tiktok.com/@veizaga42/video/7140461026474020102
3,3,i,405.959678,3052.09022,https://www.tiktok.com/@veizaga42/video/7140461026474020102
